"url","Origin","Destination","Number of People","Age","Male Victim","Female Victim","Category","Date","City"
"https://www.ndtv.com/telangana-news/hyderabad-woman-stranded-in-oman-relatives-turn-to-sushma-swaraj-1910958","india","Oman",1,,,1,"Bonded Labour","21/02/2018",
"https://www.ndtv.com/hyderabad-news/ex-congress-lawmaker-arrested-for-allegedly-trafficking-3-people-to-us-on-fake-documents-1914810","india","usa",3,,,,,"11/09/2018",
"https://www.ndtv.com/delhi-news/woman-arrested-in-delhi-for-alleged-involvement-in-human-trafficking-1921023","india",,1,,,,"employement",,
"https://www.ndtv.com/delhi-news/27-trafficked-victims-including-16-minor-girls-rescued-in-delhi-1926375","india",,16,,5,6,"employement",,
"https://www.bbc.com/news/uk-england-derbyshire-47563576?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story","UK","UK",,,,,"prostitution","14/03/2019",
"https://www.bbc.com/news/uk-england-lancashire-47543658?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story","Vietnam","UK",290,15,,,"prostitution","14/03/2019",
"https://www.bbc.com/news/uk-england-essex-46967227?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story","Essex",,27,,,,,"25/01/2019",
"https://www.bbc.com/news/world-asia-46610882?intlink_from_url=https://www.bbc.com/news/topics/c77jz3mdmr3t/human-trafficking&link_location=live-reporting-story","NorthKorea","China",2,22,,2,"prostitution","18/01/2019",
"https://www.justice.gov/usao-ndoh/pr/jury-finds-toledo-pastor-guilty-sex-trafficking-minor-and-other-crimes","USA","USA",2,14,0,2,"sexual exploit","28/03/2019",
"https://www.ndtv.com/kerala-news/kochi-abandoned-bags-prompt-probe-in-suspected-human-trafficking-to-australia-1977692","india","australia",40,,,,,,
